"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.12.2021","75,02","74,47","75,61","74,00","223,64K","1,54%"
"15.12.2021","73,88","73,25","74,58","72,50","233,19K","0,24%"
"14.12.2021","73,70","74,42","75,16","72,57","277,86K","-0,93%"
"13.12.2021","74,39","75,37","76,39","74,20","265,51K","-1,01%"
"10.12.2021","75,15","73,99","75,71","73,80","221,36K","0,98%"
"09.12.2021","74,42","75,94","76,70","73,84","283,39K","-1,85%"
"08.12.2021","75,82","75,44","76,37","74,38","322,08K","0,50%"
"07.12.2021","75,44","73,60","76,27","73,20","312,28K","3,23%"
"06.12.2021","73,08","70,24","73,80","70,24","255,40K","4,58%"
"03.12.2021","69,88","70,22","72,62","69,24","331,82K","0,30%"
"02.12.2021","69,67","69,72","70,70","65,72","526,60K","1,16%"
"01.12.2021","68,87","69,80","72,87","68,14","420,40K","-2,41%"
"30.11.2021","70,57","74,42","74,56","70,22","24,82K","-3,91%"
"29.11.2021","73,44","73,88","77,02","72,41","126,35K","0,99%"
"26.11.2021","72,72","81,65","81,66","72,14","170,78K","-11,55%"
"25.11.2021","82,22","82,24","82,58","81,70","80,45K","-0,04%"
"24.11.2021","82,25","81,88","83,00","81,74","231,07K","-0,07%"
"23.11.2021","82,31","79,51","82,60","78,55","366,60K","3,27%"
"22.11.2021","79,70","78,58","80,07","77,58","350,90K","1,03%"
"19.11.2021","78,89","81,00","82,24","78,05","479,93K","-2,89%"
"18.11.2021","81,24","80,10","81,41","79,28","306,85K","1,20%"
"17.11.2021","80,28","82,05","82,22","79,78","406,75K","-2,61%"
"16.11.2021","82,43","82,00","83,14","81,52","340,72K","0,46%"
"15.11.2021","82,05","81,92","82,49","80,67","273,72K","-0,15%"
"12.11.2021","82,17","82,83","82,87","81,26","289,30K","-0,84%"
"11.11.2021","82,87","82,85","83,44","81,66","336,14K","0,28%"
"10.11.2021","82,64","84,99","85,50","82,08","366,31K","-2,52%"
"09.11.2021","84,78","83,47","85,30","83,16","346,57K","1,62%"
"08.11.2021","83,43","82,58","84,00","82,53","269,60K","0,83%"
"05.11.2021","82,74","81,25","83,16","80,26","379,69K","2,73%"
"04.11.2021","80,54","81,58","84,49","80,20","472,43K","-1,77%"
"03.11.2021","81,99","84,07","84,20","81,10","380,11K","-3,22%"
"02.11.2021","84,72","84,45","85,23","83,76","317,07K","0,01%"
"01.11.2021","84,71","83,63","85,12","83,03","302,90K","0,39%"
"29.10.2021","84,38","84,33","84,83","83,79","22,77K","0,07%"
"28.10.2021","84,32","84,21","84,59","82,32","118,14K","-0,31%"
"27.10.2021","84,58","86,07","86,28","84,05","149,75K","-2,11%"
"26.10.2021","86,40","86,03","86,50","85,27","222,56K","0,48%"
"25.10.2021","85,99","85,65","86,70","85,43","294,55K","0,54%"
"22.10.2021","85,53","84,52","85,93","83,82","298,35K","1,09%"
"21.10.2021","84,61","85,90","86,10","83,36","373,65K","-1,41%"
"20.10.2021","85,82","85,19","85,89","83,61","378,69K","0,87%"
"19.10.2021","85,08","84,21","85,40","83,70","371,79K","0,89%"
"18.10.2021","84,33","84,95","86,04","83,95","340,96K","-0,62%"
"15.10.2021","84,86","84,30","85,10","84,16","276,47K","1,02%"
"14.10.2021","84,00","83,45","84,50","83,18","316,64K","0,99%"
"13.10.2021","83,18","83,10","83,69","82,20","333,68K","-0,29%"
"12.10.2021","83,42","83,49","84,23","82,72","331,41K","-0,27%"
"11.10.2021","83,65","82,65","84,60","82,54","330,44K","1,53%"
"08.10.2021","82,39","82,38","83,43","81,96","360,97K","0,54%"
"07.10.2021","81,95","80,98","82,50","79,08","393,10K","1,07%"
"06.10.2021","81,08","82,57","83,47","80,60","401,36K","-1,79%"
"05.10.2021","82,56","81,27","83,13","81,19","340,27K","1,60%"
"04.10.2021","81,26","79,49","82,00","78,75","362,37K","2,50%"
"01.10.2021","79,28","78,49","79,41","77,55","282,37K","0,97%"
"30.09.2021","78,52","78,46","79,11","77,60","20,51K","-0,15%"
"29.09.2021","78,64","78,25","79,40","77,50","97,97K","-0,57%"
"28.09.2021","79,09","79,40","80,75","78,10","132,33K","-0,55%"
"27.09.2021","79,53","78,25","79,90","78,21","231,13K","1,84%"
"24.09.2021","78,09","77,26","78,24","76,85","163,23K","1,09%"
"23.09.2021","77,25","75,90","77,35","75,60","226,59K","1,39%"
"22.09.2021","76,19","74,56","76,26","74,49","255,75K","2,46%"
"21.09.2021","74,36","74,33","75,18","73,26","258,71K","0,60%"
"20.09.2021","73,92","75,33","75,40","73,52","313,75K","-1,88%"
"17.09.2021","75,34","75,68","75,78","74,58","254,86K","-0,44%"
"16.09.2021","75,67","75,46","75,87","74,48","236,51K","0,28%"
"15.09.2021","75,46","73,92","76,13","73,78","289,45K","2,53%"
"14.09.2021","73,60","73,62","74,28","73,08","278,58K","0,12%"
"13.09.2021","73,51","72,88","73,92","72,69","244,73K","0,81%"
"10.09.2021","72,92","71,37","73,15","70,94","250,51K","2,06%"
"09.09.2021","71,45","72,61","73,20","70,88","377,81K","-1,58%"
"08.09.2021","72,60","71,64","72,95","71,55","325,36K","1,27%"
"07.09.2021","71,69","72,29","72,81","71,10","257,40K","-0,73%"
"06.09.2021","72,22","72,57","72,78","71,51","127,87K","-0,54%"
"03.09.2021","72,61","72,86","73,69","72,40","211,42K","-0,58%"
"02.09.2021","73,03","71,31","73,47","70,92","255,42K","2,01%"
"01.09.2021","71,59","71,68","72,38","70,42","282,49K","-1,92%"
"31.08.2021","72,99","73,14","73,52","72,62","12,59K","-0,57%"
"30.08.2021","73,41","73,25","73,69","72,00","68,66K","0,98%"
"27.08.2021","72,70","71,53","72,76","71,17","92,20K","2,29%"
"26.08.2021","71,07","71,94","72,13","70,66","179,57K","-1,63%"
"25.08.2021","72,25","71,00","72,42","70,50","242,07K","1,69%"
"24.08.2021","71,05","68,66","71,27","68,53","301,30K","3,35%"
"23.08.2021","68,75","64,97","68,90","64,60","271,56K","5,48%"
"20.08.2021","65,18","66,54","66,93","64,94","254,45K","-1,91%"
"19.08.2021","66,45","67,57","67,64","65,57","345,97K","-2,61%"
"18.08.2021","68,23","68,96","70,04","67,23","316,98K","-1,16%"
"17.08.2021","69,03","69,77","70,00","68,82","239,96K","-0,69%"
"16.08.2021","69,51","70,05","70,45","68,14","294,02K","-1,53%"
"13.08.2021","70,59","71,12","71,38","70,00","202,42K","-1,01%"
"12.08.2021","71,31","71,57","71,90","70,67","224,99K","-0,18%"
"11.08.2021","71,44","70,83","71,72","69,07","324,04K","1,15%"
"10.08.2021","70,63","69,35","71,24","68,94","246,13K","2,30%"
"09.08.2021","69,04","70,26","70,26","67,60","353,68K","-2,35%"
"06.08.2021","70,70","71,20","72,43","70,28","298,96K","-0,83%"
"05.08.2021","71,29","70,27","71,50","69,75","261,05K","1,29%"
"04.08.2021","70,38","72,33","72,83","70,11","370,13K","-2,80%"
"03.08.2021","72,41","73,08","73,55","71,05","303,73K","-0,66%"
"02.08.2021","72,89","75,39","75,39","72,31","304,87K","-4,51%"
"30.07.2021","76,33","75,81","76,38","75,38","14,39K","0,37%"
"29.07.2021","76,05","74,76","76,15","74,63","78,27K","1,75%"
"28.07.2021","74,74","74,77","75,32","74,42","111,62K","0,35%"
"27.07.2021","74,48","74,67","75,05","74,02","181,94K","-0,03%"
"26.07.2021","74,50","74,12","74,84","72,75","210,64K","0,54%"
"23.07.2021","74,10","73,56","74,22","73,32","181,66K","0,42%"
"22.07.2021","73,79","72,24","73,90","71,74","251,60K","2,16%"
"21.07.2021","72,23","68,92","72,38","68,63","306,32K","4,15%"
"20.07.2021","69,35","68,99","69,73","67,44","316,48K","1,06%"
"19.07.2021","68,62","72,86","73,34","67,75","510,92K","-6,75%"
"16.07.2021","73,59","73,18","74,09","72,34","292,66K","0,16%"
"15.07.2021","73,47","74,50","74,59","73,19","322,33K","-1,73%"
"14.07.2021","74,76","76,28","76,72","73,79","376,94K","-2,26%"
"13.07.2021","76,49","75,25","76,60","74,93","275,91K","1,77%"
"12.07.2021","75,16","75,79","75,84","74,23","262,30K","-0,52%"
"09.07.2021","75,55","74,39","75,80","73,80","248,18K","1,93%"
"08.07.2021","74,12","73,35","74,40","72,11","314,34K","0,94%"
"07.07.2021","73,43","74,69","75,99","72,60","387,43K","-1,48%"
"06.07.2021","74,53","77,06","77,84","74,13","410,70K","-3,41%"
"05.07.2021","77,16","76,23","77,26","75,70","157,22K","1,30%"
"02.07.2021","76,17","75,64","76,43","75,21","236,22K","0,44%"
"01.07.2021","75,84","74,69","76,74","74,55","405,16K","0,95%"
"30.06.2021","75,13","75,18","75,60","74,39","15,06K","0,49%"
"29.06.2021","74,76","74,67","75,51","73,90","94,94K","0,11%"
"28.06.2021","74,68","75,99","76,60","74,51","142,11K","-1,97%"
"25.06.2021","76,18","75,54","76,21","74,95","172,41K","0,82%"
"24.06.2021","75,56","75,30","75,78","74,51","165,05K","0,49%"
"23.06.2021","75,19","74,75","76,02","74,70","229,04K","0,51%"
"22.06.2021","74,81","74,88","75,30","74,32","294,72K","-0,12%"
"21.06.2021","74,90","73,33","74,95","72,98","265,47K","1,89%"
"18.06.2021","73,51","73,00","73,76","72,18","231,55K","0,59%"
"17.06.2021","73,08","73,80","74,50","72,01","336,64K","-1,76%"
"16.06.2021","74,39","74,26","74,96","73,86","306,09K","0,54%"
"15.06.2021","73,99","73,03","74,33","72,79","228,62K","1,55%"
"14.06.2021","72,86","72,70","73,64","72,59","200,72K","0,23%"
"11.06.2021","72,69","72,41","73,09","71,88","276,48K","0,23%"
"10.06.2021","72,52","72,03","72,93","70,95","346,58K","0,42%"
"09.06.2021","72,22","72,17","72,87","71,82","266,37K","0,00%"
"08.06.2021","72,22","71,42","72,42","70,71","285,23K","1,02%"
"07.06.2021","71,49","71,82","72,27","71,10","224,33K","-0,56%"
"04.06.2021","71,89","71,25","72,17","70,73","222,00K","0,81%"
"03.06.2021","71,31","71,27","71,99","70,66","229,79K","-0,06%"
"02.06.2021","71,35","70,55","71,48","70,35","221,63K","1,57%"
"01.06.2021","70,25","69,39","71,34","69,29","302,49K","1,34%"
"31.05.2021","69,32","68,98","69,82","68,75","80,18K","-0,45%"
"28.05.2021","69,63","69,69","69,92","69,26","21,26K","0,24%"
"27.05.2021","69,46","68,78","69,51","68,11","86,51K","0,86%"
"26.05.2021","68,87","68,55","69,17","68,02","134,62K","0,32%"
"25.05.2021","68,65","68,47","68,90","67,83","183,13K","0,28%"
"24.05.2021","68,46","66,72","68,64","66,46","227,25K","3,04%"
"21.05.2021","66,44","65,22","66,94","64,57","257,64K","2,04%"
"20.05.2021","65,11","66,63","67,17","64,80","388,16K","-2,33%"
"19.05.2021","66,66","68,41","68,46","65,30","386,89K","-2,98%"
"18.05.2021","68,71","69,61","70,24","67,28","378,02K","-1,08%"
"17.05.2021","69,46","68,92","69,62","68,18","230,78K","1,09%"
"14.05.2021","68,71","67,00","68,89","66,50","286,13K","2,48%"
"13.05.2021","67,05","68,88","69,04","66,48","312,00K","-3,27%"
"12.05.2021","69,32","68,78","69,90","68,18","310,30K","1,12%"
"11.05.2021","68,55","68,29","68,75","67,13","321,86K","0,34%"
"10.05.2021","68,32","68,74","69,20","67,41","265,60K","0,06%"
"07.05.2021","68,28","68,26","68,65","67,39","262,58K","0,28%"
"06.05.2021","68,09","68,47","69,37","67,93","273,28K","-1,26%"
"05.05.2021","68,96","69,35","69,95","68,35","283,73K","0,12%"
"04.05.2021","68,88","67,75","69,50","67,37","249,64K","1,95%"
"03.05.2021","67,56","66,70","67,82","66,10","148,71K","0,46%"
"30.04.2021","67,25","68,33","68,40","67,06","14,84K","-1,91%"
"29.04.2021","68,56","67,18","68,95","67,13","91,52K","1,92%"
"28.04.2021","67,27","66,58","67,85","66,13","148,95K","1,28%"
"27.04.2021","66,42","65,76","66,80","65,66","222,92K","1,17%"
"26.04.2021","65,65","66,10","66,26","64,57","257,58K","-0,70%"
"23.04.2021","66,11","65,80","66,30","65,16","187,90K","1,09%"
"22.04.2021","65,40","65,13","65,83","64,58","242,47K","0,12%"
"21.04.2021","65,32","66,22","66,52","64,96","260,88K","-1,88%"
"20.04.2021","66,57","67,20","68,08","65,51","328,24K","-0,72%"
"19.04.2021","67,05","66,70","67,23","66,17","193,81K","0,42%"
"16.04.2021","66,77","66,86","67,38","66,44","212,20K","-0,25%"
"15.04.2021","66,94","66,38","67,03","65,95","240,31K","0,54%"
"14.04.2021","66,58","64,01","66,90","63,88","323,04K","4,57%"
"13.04.2021","63,67","63,24","64,19","63,18","242,41K","0,62%"
"12.04.2021","63,28","63,03","64,31","62,41","257,84K","0,52%"
"09.04.2021","62,95","63,28","63,49","62,57","216,24K","-0,40%"
"08.04.2021","63,20","63,02","63,43","62,38","265,18K","0,06%"
"07.04.2021","63,16","62,60","63,55","61,60","321,39K","0,67%"
"06.04.2021","62,74","62,32","64,28","62,08","307,87K","0,95%"
"05.04.2021","62,15","64,57","64,81","61,25","231,78K","-4,18%"
"01.04.2021","64,86","63,12","65,17","62,38","480,37K","2,08%"
"31.03.2021","63,54","64,13","64,79","63,53","9,70K","-0,94%"
"30.03.2021","64,14","65,20","65,41","63,52","74,36K","-1,29%"
"29.03.2021","64,98","64,58","65,46","63,13","91,75K","0,63%"
"26.03.2021","64,57","62,01","64,89","61,85","147,74K","4,23%"
"25.03.2021","61,95","63,99","64,19","60,98","202,58K","-3,82%"
"24.03.2021","64,41","60,50","64,57","60,47","255,12K","5,95%"
"23.03.2021","60,79","64,30","64,30","60,27","392,60K","-5,93%"
"22.03.2021","64,62","64,53","65,12","63,45","236,34K","0,14%"
"19.03.2021","64,53","62,99","64,95","62,07","446,11K","1,98%"
"18.03.2021","63,28","67,77","68,15","61,45","516,08K","-6,94%"
"17.03.2021","68,00","68,39","68,89","66,96","309,76K","-0,57%"
"16.03.2021","68,39","68,81","68,94","67,36","248,99K","-0,71%"
"15.03.2021","68,88","69,08","70,03","67,82","262,60K","-0,49%"
"12.03.2021","69,22","69,59","69,90","69,03","251,54K","-0,59%"
"11.03.2021","69,63","68,45","69,84","67,99","289,61K","2,55%"
"10.03.2021","67,90","67,46","68,42","66,50","361,94K","0,56%"
"09.03.2021","67,52","68,13","69,33","67,12","302,61K","-1,06%"
"08.03.2021","68,24","69,97","71,38","67,80","352,59K","-1,61%"
"05.03.2021","69,36","67,16","69,69","66,67","361,76K","3,93%"
"04.03.2021","66,74","64,10","67,75","63,33","510,68K","4,17%"
"03.03.2021","64,07","62,38","64,70","62,38","341,67K","2,19%"
"02.03.2021","62,70","63,12","64,13","62,38","367,12K","-1,55%"
"01.03.2021","63,69","64,85","65,93","63,17","291,91K","-3,69%"
"26.02.2021","66,13","66,89","66,90","65,72","16,10K","-1,12%"
"25.02.2021","66,88","67,20","67,70","66,48","109,65K","-0,24%"
"24.02.2021","67,04","65,06","67,31","64,80","129,71K","2,55%"
"23.02.2021","65,37","65,51","66,79","64,47","231,18K","0,20%"
"22.02.2021","65,24","62,68","65,85","62,55","213,75K","3,70%"
"19.02.2021","62,91","63,30","63,94","62,09","305,83K","-1,60%"
"18.02.2021","63,93","65,02","65,52","63,22","420,56K","-0,64%"
"17.02.2021","64,34","63,15","64,96","62,73","391,26K","1,56%"
"16.02.2021","63,35","63,47","63,70","62,69","284,67K","0,08%"
"15.02.2021","63,30","62,83","63,76","62,82","220,38K","1,39%"
"12.02.2021","62,43","60,82","62,83","60,35","307,72K","2,11%"
"11.02.2021","61,14","61,01","61,50","60,72","209,69K","-0,54%"
"10.02.2021","61,47","61,21","61,69","60,87","287,71K","0,62%"
"09.02.2021","61,09","60,80","61,34","60,05","319,50K","0,88%"
"08.02.2021","60,56","59,43","60,72","59,43","269,31K","2,06%"
"05.02.2021","59,34","59,17","59,79","59,08","229,42K","0,85%"
"04.02.2021","58,84","58,59","59,12","58,04","244,07K","0,65%"
"03.02.2021","58,46","57,85","58,94","57,50","276,86K","1,74%"
"02.02.2021","57,46","56,35","58,05","56,33","337,68K","1,97%"
"01.02.2021","56,35","54,91","56,53","54,60","288,25K","0,84%"
"29.01.2021","55,88","55,52","56,37","55,31","19,94K","0,63%"
"28.01.2021","55,53","55,41","56,59","55,31","122,48K","-0,50%"
"27.01.2021","55,81","56,05","56,49","55,20","132,41K","-0,18%"
"26.01.2021","55,91","55,93","56,34","55,39","163,20K","0,05%"
"25.01.2021","55,88","55,26","56,02","55,07","198,27K","0,85%"
"22.01.2021","55,41","56,00","56,03","54,48","269,37K","-1,23%"
"21.01.2021","56,10","55,82","56,24","55,49","254,59K","0,04%"
"20.01.2021","56,08","56,07","56,64","55,66","310,89K","0,32%"
"19.01.2021","55,90","55,01","56,08","54,89","261,10K","2,10%"
"18.01.2021","54,75","54,75","55,21","54,49","142,87K","-0,64%"
"15.01.2021","55,10","56,41","56,50","54,64","298,41K","-2,34%"
"14.01.2021","56,42","55,93","56,57","55,24","331,29K","0,64%"
"13.01.2021","56,06","56,83","57,42","55,77","324,30K","-0,92%"
"12.01.2021","56,58","55,66","56,79","55,51","288,14K","1,65%"
"11.01.2021","55,66","56,24","56,39","54,99","295,07K","-0,59%"
"08.01.2021","55,99","54,56","56,36","54,34","336,65K","2,96%"
"07.01.2021","54,38","54,13","54,90","53,94","267,19K","0,15%"
"06.01.2021","54,30","53,52","54,73","53,02","414,41K","1,31%"
"05.01.2021","53,60","50,95","53,90","50,70","455,35K","4,91%"
"04.01.2021","51,09","51,50","53,33","50,56","382,90K","-1,37%"
